Channel ID,Year,Date,Day,Start Time,Duration,Programme,Programme(en),Episode #,Episode Title
SW TW,2014,1.30,四,00:00,,慾望師奶7 S7,Desperate Housewives 7,,
SW TW,2014,1.30,四,01:00,,美國超級名模生死鬥 20: 男女爭霸,America's Next Top Model 20,,
SW TW,2014,1.30,四,02:00,,憨管家俏主人3,Melissa & Joey 3,,
SW TW,2014,1.30,四,03:00,,熟女當道 4,Cougar Town 4,,
SW TW,2014,1.30,四,04:00,,醜聞風暴 2,Scandal 2,,
SW TW,2014,1.30,四,05:00,,頂尖主廚之甜品大對決 2,Top Chef: Just Desserts 2,,
SW TW,2014,1.30,四,06:00,,蛋糕天后 2,DC Cupcakes 2,,
SW TW,2014,1.30,四,07:00,,上流名醫 4,Royal Pains 4,,
SW TW,2014,1.30,四,08:00,,追愛總動員6 ,How I Met Your Mother S6 ,,
SW TW,2014,1.30,四,09:00,,醜聞風暴 2,Scandal 2,,
SW TW,2014,1.30,四,10:00,,新飛越比佛利 5,90210 S5,,
SW TW,2014,1.30,四,11:00,,蛋糕天后 2,DC Cupcakes 2,,
SW TW,2014,1.30,四,12:00,,頂尖主廚之甜品大對決 2,Top Chef: Just Desserts 2,,
SW TW,2014,1.30,四,13:00,,凱莉日記,Carrie Diaries,,
SW TW,2014,1.30,四,14:00,,新飛越比佛利 5,90210 S5,,
SW TW,2014,1.30,四,15:00,,蛋糕天后 2,DC Cupcakes 2,,
SW TW,2014,1.30,四,16:00,,醜聞風暴 2,Scandal 2,,
SW TW,2014,1.30,四,17:00,,歡樂合唱團 4,Glee 4,,
SW TW,2014,1.30,四,18:00,,凱莉日記,Carrie Diaries,,
SW TW,2014,1.30,四,19:00,,追愛總動員6 ,How I Met Your Mother S6 ,,
SW TW,2014,1.30,四,20:00,,蛋糕天后 2,DC Cupcakes 2,,
SW TW,2014,1.30,四,21:00,,歡樂合唱團 4,Glee 4,,
SW TW,2014,1.30,四,22:00,,凱莉日記,Carrie Diaries,,
SW TW,2014,1.30,四,23:00,,復仇 2,Revenge 2,,
SW TW,2014,1.31,五,00:00,,凱莉日記,Carrie Diaries,,
SW TW,2014,1.31,五,01:00,,追愛總動員6 ,How I Met Your Mother S6 ,,
SW TW,2014,1.31,五,02:00,,復仇 2,Revenge 2,,
SW TW,2014,1.31,五,03:00,,熟女當道 4,Cougar Town 4,,
SW TW,2014,1.31,五,04:00,,醜聞風暴 2,Scandal 2,,
SW TW,2014,1.31,五,05:00,,頂尖主廚之甜品大對決 2,Top Chef: Just Desserts 2,,
SW TW,2014,1.31,五,06:00,,蛋糕天后 2,DC Cupcakes 2,,
SW TW,2014,1.31,五,07:00,,上流名醫 4,Royal Pains 4,,
SW TW,2014,1.31,五,08:00,,追愛總動員6 ,How I Met Your Mother S6 ,,
SW TW,2014,1.31,五,09:00,,新年廚神日,廚神當道美國版 3,,
SW TW,2014,1.31,五,10:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,11:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,12:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,13:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,14:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,15:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,16:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,17:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,18:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,19:00,,廚神當道美國版 3,Masterchef US 3,,
SW TW,2014,1.31,五,20:00,,廚神當道美國版 3,Masterchef US 3,,
