Channel ID,Year,Date,Day,Start Time,Duration,Programme,Programme(en),Episode #,Episode Title
NGC,2014,4.1,二,01:00,,Earth DayCar SOS: EP1: Cosworth In Crisis,,,
NGC,2014,4.1,二,02:00,,Smart 9 None of The Above EP5 Defying Gravity,,,
NGC,2014,4.1,二,02:30,,Smart 9 None of The Above EP6 Extreme Heat,,,
NGC,2014,4.1,二,03:00,,Super 10Alaska Fish Wars: EP1: Game On,,,
NGC,2014,4.1,二,04:00,,Super 10 None of the Above : Pilots 1 Fire And Water,,,
NGC,2014,4.1,二,04:30,,Super 10 None of the Above: Pilots 2 Forces of Nature,,,
NGC,2014,4.1,二,05:00,,Inside: Supercar,,,
NGC,2014,4.1,二,06:00,,Mammoth: Back from the Dead,,,
NGC,2014,4.1,二,07:00,,Best of the BestGhost Town Gold Trailing Outlaws,,,
NGC,2014,4.1,二,08:00,,Earth DayCar SOS: EP1: Cosworth In Crisis,,,
NGC,2014,4.1,二,09:00,,Smart 9 None of The Above EP5 Defying Gravity,,,
NGC,2014,4.1,二,09:30,,Smart 9 None of The Above EP6 Extreme Heat,,,
NGC,2014,4.1,二,10:00,,Super 10Alaska Fish Wars: EP1: Game On,,,
NGC,2014,4.1,二,11:00,,Super 10 None of the Above : Pilots 1 Fire And Water,,,
NGC,2014,4.1,二,11:30,,Super 10 None of the Above: Pilots 2 Forces of Nature,,,
NGC,2014,4.1,二,12:00,,Go traveling with NatGeo Eat Street S2 EP2: Bacon Mania Baby,,,
NGC,2014,4.1,二,12:30,,Go traveling with NatGeoFood Lover's Guide To The Planet Catch of the Day,,,
NGC,2014,4.1,二,13:00,,Mega Factories 3: Frito Lay,,,
NGC,2014,4.1,二,14:00,,Air Crash Investigation 12EP8 Deadly Test,,,
NGC,2014,4.1,二,15:00,,Hustling AmericaEP3: New York,,,
NGC,2014,4.1,二,16:00,,Classic Gear Ep. 4,,,
NGC,2014,4.1,二,17:00,,Mad Scientists: Swamp Flyer,,,
NGC,2014,4.1,二,17:30,,Mad Scientists: Jet-Powered Office Chair,,,
NGC,2014,4.1,二,18:00,,Abandoned: Ep 7 – Pabst Blue Ribbon Factory,,,
NGC,2014,4.1,二,18:30,,Abandoned: Ep 8 – Oil city, Pennsylvania Bank,,,
NGC,2014,4.1,二,19:00,,Best of the BestGhost Town GoldThe Big Gamble,,,
NGC,2014,4.1,二,20:00,,Earth DayAccess 360° World Heritage: Taj Mahal,,,
NGC,2014,4.1,二,21:00,,Smart 9 Mad Scientists: Ultimate Rock Crawler,,,
NGC,2014,4.1,二,21:30,,Smart 9 Mad Scientists :Turbo-Charged Leaf Blower,,,
NGC,2014,4.1,二,22:00,,Super 10None of the Above EP3: In The Line of Fire,,,
NGC,2014,4.1,二,22:30,,Super 10None of the Above EP4: Under Pressure,,,
NGC,2014,4.1,二,23:00,,Super 10Car SOS: EP8: Austin Re-Powered,,,
NGC,2014,4.2,三,00:00,,Mega Factories: Coca Cola,,,
NGC,2014,4.2,三,01:00,,Earth DayAccess 360° World Heritage: Taj Mahal,,,
NGC,2014,4.2,三,02:00,,Smart 9 Mad Scientists: Ultimate Rock Crawler,,,
NGC,2014,4.2,三,02:30,,Smart 9 Mad Scientists :Turbo-Charged Leaf Blower,,,
NGC,2014,4.2,三,03:00,,Super 10None of the Above EP3: In The Line of Fire,,,
NGC,2014,4.2,三,03:30,,Super 10None of the Above EP4: Under Pressure,,,
NGC,2014,4.2,三,04:00,,Super 10Car SOS: EP8: Austin Re-Powered,,,
NGC,2014,4.2,三,05:00,,Mega Factories: Coca Cola,,,
NGC,2014,4.2,三,06:00,,Fish WarriorLiving Dinosaur,,,
NGC,2014,4.2,三,07:00,,Best of the BestGhost Town GoldThe Big Gamble,,,
NGC,2014,4.2,三,08:00,,Earth DayAccess 360° World Heritage: Taj Mahal,,,
NGC,2014,4.2,三,09:00,,Smart 9 Mad Scientists: Ultimate Rock Crawler,,,
NGC,2014,4.2,三,09:30,,Smart 9 Mad Scientists :Turbo-Charged Leaf Blower,,,
NGC,2014,4.2,三,10:00,,Super 10None of the Above EP3: In The Line of Fire,,,
NGC,2014,4.2,三,10:30,,Super 10None of the Above EP4: Under Pressure,,,
NGC,2014,4.2,三,11:00,,Super 10Car SOS: EP8: Austin Re-Powered,,,
NGC,2014,4.2,三,12:00,,Go traveling with NatGeo Eat Street S2: EP10: The Smoking South,,,
NGC,2014,4.2,三,12:30,,Go traveling with NatGeoFood Lover's Guide To The Planet Taste Of Vietnam,,,
NGC,2014,4.2,三,13:00,,Brain Games 2EP 2: Power of Persuasion,,,
NGC,2014,4.2,三,13:30,,Brain Games 2EP 9: What You Don't Know,,,
NGC,2014,4.2,三,14:00,,Hustling AmericaEP1: Texas,,,
NGC,2014,4.2,三,15:00,,Mega Factories: Aston Martin,,,
NGC,2014,4.2,三,16:00,,Classic Gear Ep. 5,,,
NGC,2014,4.2,三,17:00,,Brain Game 3EP3 What's Going On?,,,
NGC,2014,4.2,三,17:30,,Brain Game 3EP4 Trust Me,,,
NGC,2014,4.2,三,18:00,,Abandoned: Ep 9 - Connecticut Ghost Town,,,
NGC,2014,4.2,三,18:30,,Abandoned: Ep 10 - New York Masonic Lodge,,,
NGC,2014,4.2,三,19:00,,Best of the BestGhost Town Gold Trailblazin' To Treasure,,,
NGC,2014,4.2,三,20:00,,Earth DayBid and Destroy: Ep 2 – House-Fire to Fortune,,,
NGC,2014,4.2,三,20:30,,Earth DayBid and Destroy: Ep 10 - Million Dollar Manor,,,
NGC,2014,4.2,三,21:00,,Smart 9 Brain Game 3EP5 Laws of Attraction,,,
NGC,2014,4.2,三,21:30,,Smart 9 Brain Game 3EP6 Stress Test,,,
NGC,2014,4.2,三,22:00,,Super 10 Living in Space,,,
NGC,2014,4.2,三,23:00,,Super 10 Live From Space (Everygreen version),,,
NGC,2014,4.3,四,00:00,,Super 10 Generation Astronaut,,,
NGC,2014,4.3,四,01:00,,Earth DayBid and Destroy: Ep 2 – House-Fire to Fortune,,,
NGC,2014,4.3,四,01:30,,Earth DayBid and Destroy: Ep 10 - Million Dollar Manor,,,
NGC,2014,4.3,四,02:00,,Smart 9 Brain Game 3EP5 Laws of Attraction,,,
NGC,2014,4.3,四,02:30,,Smart 9 Brain Game 3EP6 Stress Test,,,
NGC,2014,4.3,四,03:00,,Super 10 Living in Space,,,
NGC,2014,4.3,四,04:00,,Super 10 Live From Space (Everygreen version),,,
NGC,2014,4.3,四,05:00,,Car SOS: EP7: Triumph of The Stag,,,
NGC,2014,4.3,四,06:00,,Fish WarriorNile Mammoth,,,
NGC,2014,4.3,四,07:00,,Best of the BestGhost Town Gold Trailblazin' To Treasure,,,
NGC,2014,4.3,四,08:00,,Earth DayBid and Destroy: Ep 2 – House-Fire to Fortune,,,
NGC,2014,4.3,四,08:30,,Earth DayBid and Destroy: Ep 10 - Million Dollar Manor,,,
NGC,2014,4.3,四,09:00,,Smart 9 Brain Game 3EP5 Laws of Attraction,,,
NGC,2014,4.3,四,09:30,,Smart 9 Brain Game 3EP6 Stress Test,,,
NGC,2014,4.3,四,10:00,,Super 10 Living in Space,,,
NGC,2014,4.3,四,11:00,,Super 10 Live From Space (Everygreen version),,,
NGC,2014,4.3,四,12:00,,Go traveling with NatGeo Eat Street S2 EP3: Gourmet Good & Evil,,,
NGC,2014,4.3,四,12:30,,Go traveling with NatGeoFood Lover's Guide To The Planet Grill Masters,,,
NGC,2014,4.3,四,13:00,,Known Universe 2 To The Extremes,,,
NGC,2014,4.3,四,14:00,,Scam City 2Jerusalem,,,
NGC,2014,4.3,四,15:00,,Caught In the Act 5,,,
NGC,2014,4.3,四,16:00,,Classic Gear Ep. 6,,,
NGC,2014,4.3,四,17:00,,Cosmos: A Spacetime Odyssey: EP2: The Rivers of Life,,,
NGC,2014,4.3,四,18:00,,Mine Kings,,,
NGC,2014,4.3,四,19:00,,Best of the BestGhost Town GoldPioneering Profit,,,
NGC,2014,4.3,四,20:00,,Earth DayTech Toy 360：Ep 11,,,
NGC,2014,4.3,四,20:30,,Earth DayTech Toy 360：Ep 12,,,
NGC,2014,4.3,四,21:00,,Smart 9Science of Stupid EP1,,,
NGC,2014,4.3,四,21:30,,Smart 9Science of Stupid EP2,,,
NGC,2014,4.3,四,22:00,,Super 10Scam City 2Bogota,,,
NGC,2014,4.3,四,23:00,,Super 10Drugs Inc IVEP9 Stashville, Tennessee,,,
NGC,2014,4.4,五,00:00,,Mega Factories: Eurofighter,,,
NGC,2014,4.4,五,01:00,,Earth DayTech Toy 360：Ep 11,,,
NGC,2014,4.4,五,01:30,,Earth DayTech Toy 360：Ep 12,,,
NGC,2014,4.4,五,02:00,,Smart 9Science of Stupid EP1,,,
NGC,2014,4.4,五,02:30,,Smart 9Science of Stupid EP2,,,
NGC,2014,4.4,五,03:00,,Super 10Scam City 2Bogota,,,
NGC,2014,4.4,五,04:00,,Super 10Drugs Inc IVEP9 Stashville, Tennessee,,,
NGC,2014,4.4,五,05:00,,Mega Factories: Eurofighter,,,
NGC,2014,4.4,五,06:00,,Fish WarriorColossal Catfish,,,
NGC,2014,4.4,五,07:00,,Best of the BestGhost Town GoldPioneering Profit,,,
NGC,2014,4.4,五,08:00,,Earth DayTech Toy 360：Ep 11,,,
NGC,2014,4.4,五,08:30,,Earth DayTech Toy 360：Ep 12,,,
NGC,2014,4.4,五,09:00,,Smart 9Science of Stupid EP1,,,
NGC,2014,4.4,五,09:30,,Smart 9Science of Stupid EP2,,,
NGC,2014,4.4,五,10:00,,Super 10The Numbers GameEP3: What Drives You Crazy?,,,
NGC,2014,4.4,五,11:00,,Super 10Drugs Inc IVEP9 Stashville, Tennessee,,,
NGC,2014,4.4,五,12:00,,Go traveling with NatGeo Eat Street S2 EP4: Lip Smackin' Delights,,,
NGC,2014,4.4,五,12:30,,Go traveling with NatGeoFood Lover's Guide To The Planet Korean Code,,,
NGC,2014,4.4,五,13:00,,Living in Space,,,
NGC,2014,4.4,五,14:00,,Live From Space (Everygreen version),,,
NGC,2014,4.4,五,15:00,,The Numbers Game: EP3: What Drives You Crazy?,,,
NGC,2014,4.4,五,16:00,,Classic Gear Ep. 7,,,
NGC,2014,4.4,五,17:00,,None of the Above EP3: In The Line of Fire,,,
NGC,2014,4.4,五,17:30,,None of the Above EP4: Under Pressure,,,
NGC,2014,4.4,五,18:00,,Megastructures: Money Factory,,,
NGC,2014,4.4,五,19:00,,TAT SpecialThe Living Eden's - Thailand: Jewel of The Orient,,,
NGC,2014,4.4,五,20:00,,Earth DayStrippers: Cars For Cash: British Classics,,,
NGC,2014,4.4,五,21:00,,Top Nat GeoBorn to RideEP4: I Know What Girls Like,,,
NGC,2014,4.4,五,22:00,,Top Nat GeoBorn to RideEP8: Showdown At Sturgis,,,
NGC,2014,4.4,五,23:00,,Top Nat GeoBorn to RideEP6: The Good, the Bad, and the Ducati,,,
NGC,2014,4.5,六,00:00,,Top Nat GeoBorn to RideEP1: Rockin' Wheelies,,,
NGC,2014,4.5,六,01:00,,Earth DayStrippers: Cars For Cash: British Classics,,,
NGC,2014,4.5,六,02:00,,Top Nat GeoBorn to RideEP4: I Know What Girls Like,,,
NGC,2014,4.5,六,03:00,,Top Nat GeoBorn to RideEP8: Showdown At Sturgis,,,
NGC,2014,4.5,六,04:00,,Top Nat GeoBorn to RideEP6: The Good, the Bad, and the Ducati,,,
NGC,2014,4.5,六,05:00,,Top Nat GeoBorn to RideEP1: Rockin' Wheelies,,,
NGC,2014,4.5,六,06:00,,Fish WarriorAmazon Giant,,,
NGC,2014,4.5,六,07:00,,TAT SpecialThe Living Eden's - Thailand: Jewel of The Orient,,,
NGC,2014,4.5,六,08:00,,Earth DayStrippers: Cars For Cash: British Classics,,,
NGC,2014,4.5,六,09:00,,None of the AbovePilots 1 Fire And Water,,,
NGC,2014,4.5,六,09:30,,None of the Above Pilots 2 Forces of Nature,,,
NGC,2014,4.5,六,10:00,,None of the Above EP3: In The Line of Fire,,,
NGC,2014,4.5,六,10:30,,None of the Above EP4: Under Pressure,,,
